Name,Category,Link
PLC Programming and Applications,Engineering,https://drive.google.com/drive/folders/1UKykVFiXGNH3nJewSKyQK4k-ZUKbdnYr?usp=sharing
Mechanical Vibrations,Engineering,https://drive.google.com/drive/folders/1ee00rfQ4tQ9VPDxsPY5OqgZu24GnQdFk?usp=sharing
Precision Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1fmFFwZeU7xMWTPPJTyr730e-zTrotzj6?usp=sharing
Product Development Strategies,Management,https://drive.google.com/drive/folders/1fJNgabB90VXBGnQDtSvWlezvZp9kbQzj?usp=sharing
Composite Materials Processing,Engineering,https://drive.google.com/drive/folders/1Vcs4Uw2GkD-D5q1NBsxy_ZJIhJJDPjoH?usp=sharing
Industrial Ergonomics,Engineering,https://drive.google.com/drive/folders/1tlLwbnX36nU9oML1-AirJSpPFoG08s5R?usp=sharing
Computational Fluid Dynamics,Engineering,https://drive.google.com/drive/folders/14KY-3msRpj3fioWG0I0NzHsMojcfMkox?usp=sharing
Six Sigma,Management,https://drive.google.com/drive/folders/10sT0XYpUPpLiSiejY1nRb1s3gjfQ8pT8?usp=sharing
Additive Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1p2tYeCPXi2lBsaEKK9cKrkuUAE8I0uuL?usp=sharing
Measurement Systems,Engineering,https://drive.google.com/drive/folders/18eFDEG5lxFoxoGpySFOCl4EuWBFL95Y5?usp=drive_link
Statistical Quality Control,Management,https://drive.google.com/drive/folders/1S7oBUJhSJOXs9R-7id9Ix8IIKBNlGDE4?usp=sharing
Automated Assembly System Design,Manufacturing,https://drive.google.com/drive/folders/12afQQrYkmMKNRr91R-XcCJ3ERTDVgcwu?usp=sharing
Sustainable Mobility and Logistics,Management,https://drive.google.com/drive/folders/1EOi9es2CABQzCOpPD3WFpNqTJ87c0s7o?usp=sharing
Precision Machining,Manufacturing,https://drive.google.com/drive/folders/19MfmqzRWKfACkMdogVCIu4P6-Ya7zPdp?usp=sharing
Non Destructive Testing of Aircraft Structures,Engineering,https://drive.google.com/drive/folders/118qudlzqxyMWN2ryUNRqXMoc13ddfE62?usp=sharing
Introduction to Design and manufacture of Armour Systems,Engineering,https://drive.google.com/drive/folders/1UVNV9_47S18TzfZaOId7ivWvx47Amt91?usp=sharing
Advanced Materials for Armour Applications,Engineering,https://drive.google.com/drive/folders/1GsfCZIg7dw7q6-ULTVl1i4cKCsH8ajRi?usp=sharing
Export – Import Practices,Management,https://drive.google.com/drive/folders/12HRrGsWldSmUdGHN5rUoy800J9wUOlL6?usp=sharing
Insurance - Concepts and Practices,Management,https://drive.google.com/drive/folders/1f3bKfLg1T_Boyqiyu50I35CjRQPvcmRT?usp=sharing
Public Finance,Management,https://drive.google.com/drive/folders/1BDJ7vtA7e8IO602A16IJug-iszjLOnWI?usp=sharing
Security Analysis and Portfolio Management,Management,https://drive.google.com/drive/folders/1Nq5yWyBQGPu5qj3sZZ5BRCUt-502DrxJ?usp=sharing
Interpersonal and Organizational Communication,Management,https://drive.google.com/drive/folders/1vkCslZj3hdHZRQin-V9EYdlEgF0_uMY2?usp=sharing
Human Values Through Literature,General,https://drive.google.com/drive/folders/1IgI7Jv-VNvS7GZLyOuAXNt3ClteYF9q7?usp=sharing
Engineering Materials and Metallurgy,Engineering,https://drive.google.com/drive/folders/1ZNWJleYO-IV0n-gE9uBNer2zXNUx7Ze8?usp=sharing
Engineering Practices Laboratory,Laboratory,https://drive.google.com/drive/folders/1cf_ls1NyGQCnAR-6s_hl38x3PhidRaFe?usp=sharing
Casting Technology,Manufacturing,https://drive.google.com/drive/folders/1PBtnP7GK9zmQkE52fPGQwWj9A4cJt-P2?usp=sharing
Foundations of Problem Solving,General,https://drive.google.com/drive/folders/1FJIdVgurrHHLzFwbrW-dnUCgGw-Rz6pp?usp=sharing
Matrix Theory and Numerical Methods,Mathematics,https://drive.google.com/drive/folders/1wR2ZTAsjY6jhNN0oj9_se2bPQWZwU6KP?usp=sharing
Engineering Economics,General,https://drive.google.com/drive/folders/1NyC9tPH1BSnXefb5vOzGqI6-M0O4h0dl?usp=sharing
Building Communication Skills,Language,https://drive.google.com/drive/folders/1I4sL-aJQNAlIEma2pgch01P1QrFCnMEL?usp=sharing
Heritage of Tamils / தமிழர் மரபு,General,https://drive.google.com/drive/folders/1QOW8jrls30YSQVFikGPHgsVAVSvtqXlQ?usp=sharing
Probability and Statistical Methods,Mathematics,https://drive.google.com/drive/folders/1MCaPRtmKLMfrWG2LCQjb-iFPQqvV1KX2?usp=sharing
Thermal Engineering,Engineering,https://drive.google.com/drive/folders/1JnkUsyUjGiGjV1bbCnMZyQYpdHufU6fG?usp=sharing
Manufacturing Processes Laboratory - I,Laboratory,https://drive.google.com/drive/folders/1SxJw5EBsGCThEH1BZX9l44easF0YJEMm?usp=sharing
Python Programming Laboratory,Laboratory,https://drive.google.com/drive/folders/1XsPB6D3OF65aCDe74xOMnz51FKWXUdxc?usp=sharing
Problem Solving,Aptitude,https://drive.google.com/drive/folders/1jdgIAGCHG9TmXhuRXIyrZzVNg9YoTMPS?usp=sharing
Tamils and Technology / தமிழும் தொழில்நுட்பமும்,General,https://drive.google.com/drive/folders/11Bm8fuJMcHCimRpcA5dYguH6QmTitLmh?usp=sharing
CNC Machines and Robotics,Manufacturing,https://drive.google.com/drive/folders/1NiUf_uH864hhEyHDDSBsoNcq6ti2HyP8?usp=sharing
Metrology and Quality Control,Manufacturing,https://drive.google.com/drive/folders/1MdTSIjYRk-5gxNhzTVwEkPaWz1bMhQgF?usp=sharing
Production Tooling,Manufacturing,https://drive.google.com/drive/folders/1gIIjafx23R4ssv8C2rHU6RyNauW8VFAn?usp=sharing
,,
Manufacturing Processes Laboratory - II,Laboratory,https://drive.google.com/drive/folders/11lodV7NaUNcwLrSOYKNdP81rsfqVEHUW?usp=sharing
Metrology Laboratory,Laboratory,https://drive.google.com/drive/folders/1tL870oMIrwSQz5ug1kruBHDqCGmf1wBa?usp=sharing
Aptitude Skills,Aptitude,https://drive.google.com/drive/folders/1dLWhHHakQwlJ3zkphhdm4OZC9mO0Bs_F?usp=sharing
Fluid Power Automation Laboratory,Laboratory,https://drive.google.com/drive/folders/1oSDxdNNcGpdrSkiOsClYWSy5mgdm1nzv?usp=sharing
"CAD, CAM, CAE Laboratory",Laboratory,https://drive.google.com/drive/folders/1GIUASBPg38aTuOfYeLFkSgxKHz8RYhMw?usp=sharing
Enhancing Problem Solving Ability with Code,Aptitude,https://drive.google.com/drive/folders/16BU5JIMkVgZb0Tzh9MR8XQb34SuydooV?usp=sharing
Industrial Engineering Laboratory,Laboratory,https://drive.google.com/drive/folders/12RdhNvtSFMpm140gTFmX8tEDLqV95czr?usp=sharing
Enterprise Resource Planning,Management,https://drive.google.com/drive/folders/1kYmtKzs8vrLfrfRKcwniBK2YzLnQ3mD2?usp=sharing
Work System Design,Engineering,https://drive.google.com/drive/folders/1K__adxUvs47Xb60ilRu4VPmNeEGEtCyX?usp=sharing
Factory Automation,Manufacturing,https://drive.google.com/drive/folders/1wmqDBQ3SRMUwu5dLrQvF6NDCsZWjdw3C?usp=sharing
Computer Aided Design and Analysis,Engineering,https://drive.google.com/drive/folders/179H2CtfHIGxCcTyxKzrqwLYOGe-Rz61q?usp=sharing
Computer Integrated Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1jvyO4zBdSr5GkRHbjO-JaBd7EVp0eOkD?usp=sharing
Sensors for Condition Monitoring,Engineering,https://drive.google.com/drive/folders/1zCeJuy9QYUCTJEdC4hZedYPIFmDPdRZ9?usp=sharing
Sensors and Control Systems in Manufacturing,Engineering,https://drive.google.com/drive/folders/1eFLM5HU52wg74wF5F5gJwz6Nd4lYltiP?usp=sharing
,,
,,
Battery Technology,Engineering,https://drive.google.com/drive/folders/17eEWxQOQfW3l4JWzGTCTPI6yPJwglL69?usp=sharing
Digital Marketing for Engineers,Management,https://drive.google.com/drive/folders/11JNtALDlH5SZSGsnw5WeLRUJF8bKCnag?usp=sharing
Financial Management,Management,https://drive.google.com/drive/folders/1P4eNHNKpYXTnsXBIwkMe4l8_4CaNGC6v?usp=sharing
Industrial Internet of Things,Engineering,https://drive.google.com/drive/folders/10mcA5Q719ECmYSt-UFR-igofDHFi4CeI?usp=sharing
Innovation and Leadership Management,Management,https://drive.google.com/drive/folders/1fctICNSh2USM93vWxZhO3LWf98Xfvqna?usp=sharing
Sustainable Development Goals for Manufacturing Industries,Manufacturing,https://drive.google.com/drive/folders/1B17etvyYkawg1UxXfY4bhaVuv7toBW3f?usp=drive_link
Virtual Reality Systems and Applications,Engineering,https://drive.google.com/drive/folders/1pxeFCyck6bS-0_BxroKRqnWAr59SmTSh?usp=sharing
